"47 The American Sign Language and English Secondary School","223 EAST 23 STREET MANHATTAN, NY 10010",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"PS 5 Port Morris","564 JACKSON AVENUE BRONX, NY 10455",40.813572,-73.908818,1,rooftop,564,"Jackson Ave",Bronx,NY,"Bronx County",10455,US,"City of New York"
"PS 503: The School of Discovery","330 59 STREET BROOKLYN, NY 11220",40.642039,-74.019036,1,rooftop,330,"59th St",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"PS 78","100 TOMPKINS AVENUE STATEN ISLAND, NY 10304",40.622227,-74.079566,1,rooftop,100,"Tompkins Ave","Staten Island",NY,"Richmond County",10304,US,"City of New York"
"PS/MS 194","2365 WATERBURY AVENUE BRONX, NY 10462",40.834979,-73.84652,1,rooftop,2365,"Waterbury Ave",Bronx,NY,"Bronx County",10462,US,"City of New York"
"Paula Hedbavny School","421 W 219TH ST MANHATTAN, NY 10034",40.871497,-73.91253,1,rooftop,421,"W 219th St","New York",NY,"New York County",10034,US,"City of New York"
"Performing Arts and Technology High School","400 PENNSYLVANIA AVENUE BROOKLYN, NY 11207",40.666909,-73.894808,1,rooftop,400,"Pennsylvania Ave",Brooklyn,NY,"Kings County",11207,US,"City of New York"
"Port Richmond High School","85 ST JOSEPHS AVENUE STATEN ISLAND, NY 10302",40.634494,-74.14206,1,rooftop,85,"St Josephs Ave","Staten Island",NY,"Richmond County",10302,US,"City of New York"
"RED HOOK NEIGHBORHOOD SCHOOL","27 HUNTINGTON STREET BROOKLYN, NY 11231",40.677644,-74.005113,1,rooftop,27,"Huntington St",Brooklyn,NY,"Kings County",11231,US,"City of New York"
"Ralph A. Fabrizio School","619 72ND STREET BROOKLYN, NY 11209",40.630194,-74.018849,1,rooftop,619,"72nd St",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"Richmond Hill High School","89-30 114 STREET QUEENS, NY 11418",40.695123,-73.833453,1,rooftop,89-30,"114th St","Richmond Hill",NY,"Queens County",11418,US,"City of New York"
"River East Elementary","2351 FIRST AVENUE MANHATTAN, NY 10035",40.799182,-73.933396,1,rooftop,2351,"1st Ave","New York",NY,"New York County",10035,US,"City of New York"
"Riverdale / Kingsbridge Academy (Middle School / High School 141)","660 WEST 237 STREET BRONX, NY 10463",40.888211,-73.914363,1,rooftop,660,"W 237th St",Bronx,NY,"Bronx County",10463,US,"City of New York"
"School for Excellence","1110 BOSTON ROAD BRONX, NY 10456",40.827262,-73.904544,1,rooftop,1110,"Boston Rd",Bronx,NY,"Bronx County",10456,US,"City of New York"
"School for International Studies","284 BALTIC STREET BROOKLYN, NY 11201",40.685317,-73.993335,1,rooftop,284,"Baltic St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"School of the Future High School","127 EAST 22 STREET MANHATTAN, NY 10010",40.739025,-73.985416,1,rooftop,127,"E 22nd St","New York",NY,"New York County",10010,US,"City of New York"
"South Bronx Preparatory: A College Board School","360 EAST 145 STREET BRONX, NY 10454",40.81366,-73.920295,1,rooftop,360,"E 145th St",Bronx,NY,"Bronx County",10454,US,"City of New York"
"Stephen T. Mather Building Arts Craf","439 WEST 49TH STREET MANHATTAN, NY 10019",40.763581,-73.99085,1,rooftop,439,"W 49th St","New York",NY,"New York County",10019,US,"City of New York"
"Stuyvesant High School","345 CHAMBERS STREET MANHATTAN, NY 10282",40.717771,-74.013868,1,rooftop,345,"Chambers St","New York",NY,"New York County",10282,US,"City of New York"
"Tag Young Scholars","240 EAST 109 STREET MANHATTAN, NY 10029",40.7926,-73.941538,1,rooftop,240,"E 109th St","New York",NY,"New York County",10029,US,"City of New York"
"Teachers College Community School","168 MORNINGSIDE AVENUE MANHATTAN, NY 10027",40.812492,-73.953422,1,rooftop,168,"Morningside Ave","New York",NY,"New York County",10027,US,"City of New York"
"The Active Learning Elementary School","137-20 FRANKLIN AVENUE QUEENS, NY 11355",40.754666,-73.826292,1,rooftop,137-20,"Franklin Ave",Flushing,NY,"Queens County",11355,US,"City of New York"
"The Angelo Patri Middle School","2225 WEBSTER AVENUE BRONX, NY 10457",40.854777,-73.89675,1,rooftop,2225,"Webster Ave",Bronx,NY,"Bronx County",10457,US,"City of New York"
"The Bellaire School","207-11 89 AVENUE QUEENS, NY 11427",40.720552,-73.757168,1,rooftop,207-11,"89th Ave","Queens Village",NY,"Queens County",11427,US,"City of New York"
"The Christa McAuliffe School\I.S. 187","1171 65 STREET BROOKLYN, NY 11219",40.627778,-74.004043,1,rooftop,1171,"65th St",Brooklyn,NY,"Kings County",11219,US,"City of New York"
"The Highbridge Green School","200 West 167th Street BRONX, NY 10452",40.838209,-73.928034,1,rooftop,200,"W 167th St",Bronx,NY,"Bronx County",10452,US,"City of New York"
"The Hunts Point School","730 BRYANT AVENUE BRONX, NY 10474",40.815457,-73.885562,1,rooftop,730,"Bryant Ave",Bronx,NY,"Bronx County",10474,US,"City of New York"
"The Lexington Academy","131 EAST 104 STREET MANHATTAN, NY 10029",40.791213,-73.947581,1,rooftop,131,"E 104th St","New York",NY,"New York County",10029,US,"City of New York"
"The Longwood Academy of Discovery","888 REV J A POLITE AVE BRONX, NY 10459",40.825629,-73.893605,0.33,place,,,Bronx,NY,"Bronx County",10459,US,"TIGER/Line® dataset from the US Census Bureau"
"The Matilda Avenue School","4520 MATILDA AVENUE BRONX, NY 10470",40.901594,-73.854107,1,rooftop,4520,"Matilda Ave",Bronx,NY,"Bronx County",10470,US,"City of New York"
"The Michael J. Petrides School","715 OCEAN TERRACE STATEN ISLAND, NY 10301",40.608326,-74.102619,1,rooftop,715,"Ocean Ter","Staten Island",NY,"Richmond County",10301,US,"City of New York"
"The SEEALL Academy","5601 16 AVENUE BROOKLYN, NY 11204",40.595211,-73.974729,0.9,rooftop,16,"Gravesend Neck Rd",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"The STAR Academy - P.S.63","121 EAST 3 STREET MANHATTAN, NY 10009",40.724144,-73.9862,1,rooftop,121,"E 3rd St","New York",NY,"New York County",10009,US,"City of New York"
"The School of Creativity and Innovation","736 48TH STREET BROOKLYN, NY 11220",40.643039,-74.004094,1,rooftop,736,"48th St",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"The Walton Avenue School","1425 WALTON AVENUE BRONX, NY 10452",40.840293,-73.91561,1,rooftop,1425,"Walton Ave",Bronx,NY,"Bronx County",10452,US,"City of New York"
"Thomas A. Edison Career and Technical Education High School","165-65 84 AVENUE QUEENS, NY 11432",40.715946,-73.799125,1,rooftop,165-65,"84th Ave",Jamaica,NY,"Queens County",11432,US,"City of New York"
"Thurgood Marshall Academy Lower School","276 WEST 151ST STREET MANHATTAN, NY 10039",40.825926,-73.937758,1,rooftop,276,"W 151st St","New York",NY,"New York County",10039,US,"City of New York"
"Thurgood Marshall Academy for Learning and Social","200-214 WEST 135TH STREET MANHATTAN, NY 10030",40.815355,-73.944238,1,rooftop,200,"W 135th St","New York",NY,"New York County",10030,US,"City of New York"
"Urban Academy Laboratory High School","317 EAST 67 STREET MANHATTAN, NY 10065",40.765335,-73.959738,1,rooftop,317,"E 67th St","New York",NY,"New York County",10065,US,"City of New York"
"Vista Academy","350 LINWOOD STREET BROOKLYN, NY 11208",40.677139,-73.883618,1,rooftop,350,"Linwood St",Brooklyn,NY,"Kings County",11208,US,"City of New York"
"Wadleigh Secondary School for the Performing & Vis","215 WEST 114 STREET MANHATTAN, NY 10026",40.802284,-73.95408,1,rooftop,215,"W 114th St","New York",NY,"New York County",10026,US,"City of New York"
"William Cullen Bryant High School","48-10 31 AVENUE QUEENS, NY 11103",40.757962,-73.910495,0.9,rooftop,48-10,"31st Ave",Woodside,NY,"Queens County",11377,US,"City of New York"
"William E. Grady Career and Technical Education High School","25 BRIGHTON 4TH ROAD BROOKLYN, NY 11235",40.582723,-73.963353,1,rooftop,25,"Brighton 4th Rd",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"Williamsburg High School for Art and Technology","223 GRAHAM AVENUE BROOKLYN, NY 11206",40.709815,-73.943911,1,rooftop,223,"Graham Ave",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"Young Voices Academy Of The Bronx","800 LYDIG AVENUE BRONX, NY 10462",40.854327,-73.863659,1,rooftop,800,"Lydig Ave",Bronx,NY,"Bronx County",10462,US,"City of New York"
